07-Apr-05,54.8
07-Apr-05,55.6
19-Apr-05,51.4
19-Apr-05,51.8
03-May-05,50.5
03-May-05,57.2
18-Jun-05,52.4
18-Jun-05,53
05-Jul-05,58.7
28-Jul-05,54.9
28-Jul-05,59.2
07-Sep-05,56.2
07-Sep-05,59.7
27-Oct-05,59.7
27-Oct-05,61.4
03-Nov-05,57.6
03-Nov-05,59.5
25-Jan-06,53.5
15-Feb-06,53.1
17-Mar-06,50.4
17-Mar-06,51.2
21-Apr-06,50.7
21-Apr-06,56.6
22-May-06,58.6
12-Jun-06,56
17-Jul-06,56.3
03-Aug-06,57.3
13-Sep-06,54.9
06-Oct-06,56.3
06-Oct-06,57.6
09-Nov-06,56
11-Jan-07,52
23-Feb-07,51.4
23-Feb-07,53.9
27-Mar-07,46.7
04-May-07,48.7
07-Jun-07,44.1
17-Jul-07,55.4
07-Aug-07,52
06-Sep-07,51.9
12-Oct-07,53.3
07-Dec-07,42.3
